[Race Summary]
Team Name,Event,Race Start,Actual Finish,Total Duration,Status
Party Pace,Ragnar Trail Atlanta 2025,9:00 AM,9:56 AM,24:56,Complete

[Race Data]
Note: Predicted Pace column reflects baseline-only estimates (12:00/mi day | 12:36/mi night with 5% adjustment).
The live forecasting model would have updated these dynamically during the actual race.
Night window applied: 8:00 PM to 7:00 AM. Night legs: 13-22.

Leg,Runner,Loop,Loop Miles,Start,Est Finish,Actual Finish,Status,Actual Duration,Actual Pace,Predicted Pace,Est Duration
1,Wendy,Green,4,9:00 AM,9:48 AM,9:50 AM,Actual,0:50,12:30/mi,12:00/mi,0:48
2,Kristine,Yellow,5,9:50 AM,10:50 AM,11:08 AM,Actual,1:18,15:36/mi,12:00/mi,1:00
3,Scott,Red,6,11:08 AM,12:20 PM,12:20 PM,Actual,1:12,12:00/mi,12:00/mi,1:12
4,Jeff,Green,4,12:20 PM,1:08 PM,1:13 PM,Actual,0:53,13:15/mi,12:00/mi,0:48
5,Jason,Yellow,5,1:13 PM,2:13 PM,2:21 PM,Actual,1:08,13:36/mi,12:00/mi,1:00
6,Ray,Red,6,2:21 PM,3:33 PM,3:35 PM,Actual,1:14,12:20/mi,12:00/mi,1:12
7,Jenny,Green,4,3:35 PM,4:23 PM,4:21 PM,Actual,0:46,11:30/mi,12:00/mi,0:48
8,Tim,Yellow,5,4:21 PM,5:21 PM,5:02 PM,Actual,0:41,8:12/mi,12:00/mi,1:00
9,Wendy,Red,6,5:02 PM,6:14 PM,6:10 PM,Actual,1:08,11:20/mi,12:00/mi,1:12
10,Kristine,Green,4,6:10 PM,6:58 PM,6:55 PM,Actual,0:45,11:15/mi,12:00/mi,0:48
11,Scott,Yellow,5,6:55 PM,7:55 PM,7:53 PM,Actual,0:58,11:36/mi,12:00/mi,1:00
12,Jeff,Red,6,7:53 PM,9:05 PM,9:06 PM,Actual,1:13,12:10/mi,12:00/mi,1:12
13,Jason,Green,4,9:06 PM,9:56 PM,9:56 PM,Actual,0:50,12:30/mi,12:36/mi,0:50
14,Ray,Yellow,5,9:56 PM,10:59 PM,11:11 PM,Actual,1:15,15:00/mi,12:36/mi,1:03
15,Jenny,Red,6,11:11 PM,12:27 AM,12:26 AM,Actual,1:15,12:30/mi,12:36/mi,1:16
16,Tim,Green,4,12:26 AM,1:16 AM,1:06 AM,Actual,0:40,10:00/mi,12:36/mi,0:50
17,Wendy,Yellow,5,1:06 AM,2:09 AM,2:20 AM,Actual,1:14,14:48/mi,12:36/mi,1:03
18,Kristine,Red,6,2:20 AM,3:36 AM,3:33 AM,Actual,1:13,12:10/mi,12:36/mi,1:16
19,Scott,Green,4,3:33 AM,4:23 AM,4:20 AM,Actual,0:47,11:45/mi,12:36/mi,0:50
20,Jeff,Yellow,5,4:20 AM,5:23 AM,5:25 AM,Actual,1:05,13:00/mi,12:36/mi,1:03
21,Jason,Red,6,5:25 AM,6:41 AM,6:55 AM,Actual,1:30,15:00/mi,12:36/mi,1:16
22,Ray,Green,4,6:55 AM,7:45 AM,7:49 AM,Actual,0:54,13:30/mi,12:36/mi,0:50
23,Jenny,Yellow,5,7:49 AM,8:49 AM,8:56 AM,Actual,1:07,13:24/mi,12:00/mi,1:00
24,Tim,Red,6,8:56 AM,10:08 AM,9:56 AM,Actual,1:00,10:00/mi,12:00/mi,1:12

[Config]
Team Name,Event Name,Race Start Time,Avg Pace,Green Miles,Yellow Miles,Red Miles,Night Adjustment,Night Adjustment Type,Night Hours Start,Night Hours End
Party Pace,Ragnar Trail Atlanta 2025,9:00 AM,12:00,4.0,5.0,6.0,5%,percent,8:00 PM,7:00 AM
